,date,game_number,team,passing_yards,rushing_yards
296,2016-11-20,10,ARI,198,135
297,2016-11-20,10,BAL,269,101
298,2016-11-20,10,BUF,166,183
299,2016-11-20,10,CHI,252,93
300,2016-11-20,10,CIN,207,93
301,2016-11-20,10,DAL,301,118
302,2016-11-20,10,DET,278,14
303,2016-11-20,10,GB,360,84
304,2016-11-20,10,IND,262,76
305,2016-11-20,10,JAX,202,83
306,2016-11-20,10,KC,261,82
307,2016-11-20,10,LAR,134,102
308,2016-11-20,10,MIA,172,98
309,2016-11-20,10,MIN,169,72
310,2016-11-20,10,NE,280,171
311,2016-11-20,10,NYG,227,102
312,2016-11-20,10,PHI,218,113
313,2016-11-20,10,PIT,167,146
314,2016-11-20,10,SEA,287,152
315,2016-11-20,10,SF,206,122
316,2016-11-20,10,TB,331,116
317,2016-11-20,10,WAS,375,151
318,2016-11-20,11,CLE,246,33
319,2016-11-20,11,TEN,290,97
320,2016-11-21,10,HOU,243,124
321,2016-11-21,10,OAK,295,30
322,2016-11-24,11,DAL,195,163
323,2016-11-24,11,DET,232,94
324,2016-11-24,11,IND,240,91
325,2016-11-24,11,MIN,224,82
326,2016-11-24,11,PIT,221,148
327,2016-11-24,11,WAS,449,56
328,2016-11-27,11,ARI,289,58
329,2016-11-27,11,ATL,269,116
330,2016-11-27,11,BAL,234,92
331,2016-11-27,11,BUF,166,153
332,2016-11-27,11,CAR,246,129
333,2016-11-27,11,CHI,316,95
334,2016-11-27,11,CIN,283,64
335,2016-11-27,11,DEN,368,124
336,2016-11-27,11,HOU,246,114
337,2016-11-27,11,JAX,126,183
338,2016-11-27,11,KC,220,83
339,2016-11-27,11,LAR,214,69
340,2016-11-27,11,MIA,285,95
341,2016-11-27,11,NO,360,209
342,2016-11-27,11,NE,286,91
343,2016-11-27,11,NYG,194,104
344,2016-11-27,11,NYJ,269,64
345,2016-11-27,11,OAK,315,56
346,2016-11-27,11,SDG,242,67
347,2016-11-27,11,SEA,151,127
348,2016-11-27,11,SF,296,193
349,2016-11-27,11,TB,220,118
350,2016-11-27,12,CLE,322,58
351,2016-11-27,12,TEN,226,149
352,2016-11-28,11,GB,313,74
353,2016-11-28,11,PHI,254,81
354,2016-12-01,12,DAL,139,140
355,2016-12-01,12,MIN,253,87
356,2016-12-04,12,ARI,300,88
357,2016-12-04,12,ATL,297,128
358,2016-12-04,12,BAL,386,110
359,2016-12-04,12,BUF,191,212
360,2016-12-04,12,CAR,182,89
361,2016-12-04,12,CHI,192,142
362,2016-12-04,12,CIN,332,80
363,2016-12-04,12,DEN,104,104
364,2016-12-04,12,DET,341,85
365,2016-12-04,12,GB,209,109
366,2016-12-04,12,HOU,202,123
367,2016-12-04,12,JAX,181,154
368,2016-12-04,12,KC,270,123
369,2016-12-04,12,LAR,161,36
370,2016-12-04,12,MIA,226,62
371,2016-12-04,12,NO,326,50
372,2016-12-04,12,NE,269,133
373,2016-12-04,12,NYG,195,56
374,2016-12-04,12,OAK,260,139
375,2016-12-04,12,PHI,308,53
376,2016-12-04,12,PIT,289,117
377,2016-12-04,12,SDG,225,119
378,2016-12-04,12,SEA,315,240
379,2016-12-04,12,SF,39,141
380,2016-12-04,12,TB,280,81
381,2016-12-04,12,WAS,271,87
382,2016-12-05,12,IND,289,139
383,2016-12-05,12,NYJ,216,36
384,2016-12-08,13,KC,264,65
385,2016-12-08,13,OAK,117,135
386,2016-12-11,13,ARI,145,175
387,2016-12-11,13,ATL,237,66
388,2016-12-11,13,BUF,228,67
389,2016-12-11,13,CAR,160,126
390,2016-12-11,13,CHI,212,92
391,2016-12-11,13,CIN,180,213
392,2016-12-11,13,CLE,104,169
393,2016-12-11,13,DAL,165,108
394,2016-12-11,13,DEN,350,18
395,2016-12-11,13,DET,223,114
396,2016-12-11,13,GB,246,93
397,2016-12-11,13,HOU,147,185
398,2016-12-11,13,IND,276,83
399,2016-12-11,13,JAX,257,85
400,2016-12-11,13,LAR,235,104
401,2016-12-11,13,MIA,242,83
402,2016-12-11,13,MIN,292,85
403,2016-12-11,13,NO,257,46
404,2016-12-11,13,NYG,193,93
405,2016-12-11,13,NYJ,257,188
406,2016-12-11,13,PHI,314,95
407,2016-12-11,13,PIT,220,240
408,2016-12-11,13,SDG,236,58
409,2016-12-11,13,SEA,240,136
410,2016-12-11,13,SF,133,248
411,2016-12-11,13,TB,184,104
412,2016-12-11,13,TEN,88,180
413,2016-12-11,13,WAS,234,107
414,2016-12-12,13,BAL,324,42
415,2016-12-12,13,NE,406,95
416,2016-12-15,14,LAR,167,47
417,2016-12-15,14,SEA,229,72
418,2016-12-17,14,MIA,236,67
419,2016-12-17,14,NYJ,266,116
420,2016-12-18,14,ARI,318,116
421,2016-12-18,14,ATL,302,248
422,2016-12-18,14,BAL,206,151
423,2016-12-18,14,BUF,174,280
424,2016-12-18,14,CHI,362,95
425,2016-12-18,14,CIN,157,76
426,2016-12-18,14,CLE,196,107
427,2016-12-18,14,DAL,279,185
428,2016-12-18,14,DEN,282,58
429,2016-12-18,14,DET,273,56
430,2016-12-18,14,GB,252,226
431,2016-12-18,14,HOU,308,79
432,2016-12-18,14,IND,250,161
433,2016-12-18,14,JAX,92,67
434,2016-12-18,14,KC,163,157
435,2016-12-18,14,MIN,291,34
436,2016-12-18,14,NO,389,130
437,2016-12-18,14,NE,188,136
438,2016-12-18,14,NYG,201,114
439,2016-12-18,14,OAK,213,145
