,schedule_date,schedule_season,schedule_week,team_x,score,opponent_score,margin,home_team,id,date,game_number,team_y,passing_yards,rushing_yards
68,2016-09-25,2016,3,BUF,33.0,18.0,15.0,BUF,BUF2016-09-25,2016-09-25,3,BUF,119,208
69,2016-09-25,2016,3,CAR,10.0,22.0,-12.0,CAR,CAR2016-09-25,2016-09-25,3,CAR,265,105
70,2016-09-25,2016,3,CHI,17.0,31.0,-14.0,DAL,CHI2016-09-25,2016-09-25,3,CHI,317,78
71,2016-09-25,2016,3,CIN,17.0,29.0,-12.0,CIN,CIN2016-09-25,2016-09-25,3,CIN,206,143
72,2016-09-25,2016,3,CLE,24.0,30.0,-6.0,MIA,CLE2016-09-25,2016-09-25,3,CLE,279,169
73,2016-09-25,2016,3,DAL,31.0,17.0,14.0,DAL,DAL2016-09-25,2016-09-25,3,DAL,248,199
74,2016-09-25,2016,3,DEN,29.0,17.0,12.0,CIN,DEN2016-09-25,2016-09-25,3,DEN,312,52
75,2016-09-25,2016,3,DET,27.0,34.0,-7.0,GB,DET2016-09-25,2016-09-25,3,DET,385,50
76,2016-09-25,2016,3,GB,34.0,27.0,7.0,GB,GB2016-09-25,2016-09-25,3,GB,205,123
77,2016-09-25,2016,3,IND,26.0,22.0,4.0,IND,IND2016-09-25,2016-09-25,3,IND,331,93
78,2016-09-25,2016,3,JAX,17.0,19.0,-2.0,JAX,JAX2016-09-25,2016-09-25,3,JAX,194,48
79,2016-09-25,2016,3,KC,24.0,3.0,21.0,KC,KC2016-09-25,2016-09-25,3,KC,237,72
80,2016-09-25,2016,3,LAR,37.0,32.0,5.0,TB,LAR2016-09-25,2016-09-25,3,LAR,190,137
81,2016-09-25,2016,3,MIA,30.0,24.0,6.0,MIA,MIA2016-09-25,2016-09-25,3,MIA,319,115
82,2016-09-25,2016,3,MIN,22.0,10.0,12.0,CAR,MIN2016-09-25,2016-09-25,3,MIN,171,58
83,2016-09-25,2016,3,NYG,27.0,29.0,-2.0,NYG,NYG2016-09-25,2016-09-25,3,NYG,350,120
84,2016-09-25,2016,3,NYJ,3.0,24.0,-21.0,KC,NYJ2016-09-25,2016-09-25,3,NYJ,188,117
85,2016-09-25,2016,3,OAK,17.0,10.0,7.0,TEN,OAK2016-09-25,2016-09-25,3,OAK,249,123
86,2016-09-25,2016,3,PHI,34.0,3.0,31.0,PHI,PHI2016-09-25,2016-09-25,3,PHI,301,125
87,2016-09-25,2016,3,PIT,3.0,34.0,-31.0,PHI,PIT2016-09-25,2016-09-25,3,PIT,257,29
88,2016-09-25,2016,3,SDG,22.0,26.0,-4.0,IND,SDG2016-09-25,2016-09-25,3,SDG,326,37
89,2016-09-25,2016,3,SEA,37.0,18.0,19.0,SEA,SEA2016-09-25,2016-09-25,3,SEA,308,127
90,2016-09-25,2016,3,SF,18.0,37.0,-19.0,SEA,SF2016-09-25,2016-09-25,3,SF,119,135
91,2016-09-25,2016,3,TB,32.0,37.0,-5.0,TB,TB2016-09-25,2016-09-25,3,TB,405,83
92,2016-09-25,2016,3,TEN,10.0,17.0,-7.0,TEN,TEN2016-09-25,2016-09-25,3,TEN,214,181
93,2016-09-25,2016,3,WAS,29.0,27.0,2.0,NYG,WAS2016-09-25,2016-09-25,3,WAS,327,90
94,2016-09-26,2016,3,ATL,45.0,32.0,13.0,NO,ATL2016-09-26,2016-09-26,3,ATL,240,217
95,2016-09-26,2016,3,NO,32.0,45.0,-13.0,NO,NO2016-09-26,2016-09-26,3,NO,376,115
96,2016-09-29,2016,4,CIN,22.0,7.0,15.0,CIN,CIN2016-09-29,2016-09-29,4,CIN,296,77
97,2016-09-29,2016,4,MIA,7.0,22.0,-15.0,CIN,MIA2016-09-29,2016-09-29,4,MIA,189,62
98,2016-10-02,2016,4,ARI,13.0,17.0,-4.0,ARI,ARI2016-10-02,2016-10-02,4,ARI,325,118
99,2016-10-02,2016,4,ATL,48.0,33.0,15.0,ATL,ATL2016-10-02,2016-10-02,4,ATL,503,90
100,2016-10-02,2016,4,BAL,27.0,28.0,-1.0,BAL,BAL2016-10-02,2016-10-02,4,BAL,298,130
101,2016-10-02,2016,4,BUF,16.0,0.0,16.0,NE,BUF2016-10-02,2016-10-02,4,BUF,246,134
102,2016-10-02,2016,4,CAR,33.0,48.0,-15.0,ATL,CAR2016-10-02,2016-10-02,4,CAR,337,49
103,2016-10-02,2016,4,CHI,17.0,14.0,3.0,CHI,CHI2016-10-02,2016-10-02,4,CHI,302,114
104,2016-10-02,2016,4,CLE,20.0,31.0,-11.0,WAS,CLE2016-10-02,2016-10-02,4,CLE,223,163
105,2016-10-02,2016,4,DAL,24.0,17.0,7.0,SF,DAL2016-10-02,2016-10-02,4,DAL,245,194
106,2016-10-02,2016,4,DEN,27.0,7.0,20.0,TB,DEN2016-10-02,2016-10-02,4,DEN,238,89
107,2016-10-02,2016,4,DET,14.0,17.0,-3.0,CHI,DET2016-10-02,2016-10-02,4,DET,213,66
108,2016-10-02,2016,4,HOU,27.0,20.0,7.0,HOU,HOU2016-10-02,2016-10-02,4,HOU,254,115
109,2016-10-02,2016,4,IND,27.0,30.0,-3.0,JAX,IND2016-10-02,2016-10-02,4,IND,234,94
110,2016-10-02,2016,4,JAX,30.0,27.0,3.0,JAX,JAX2016-10-02,2016-10-02,4,JAX,207,136
111,2016-10-02,2016,4,KC,14.0,43.0,-29.0,PIT,KC2016-10-02,2016-10-02,4,KC,287,87
112,2016-10-02,2016,4,LAR,17.0,13.0,4.0,ARI,LAR2016-10-02,2016-10-02,4,LAR,266,41
113,2016-10-02,2016,4,NE,0.0,16.0,-16.0,NE,NE2016-10-02,2016-10-02,4,NE,205,90
114,2016-10-02,2016,4,NO,35.0,34.0,1.0,SDG,NO2016-10-02,2016-10-02,4,NO,207,83
115,2016-10-02,2016,4,NYJ,17.0,27.0,-10.0,NYJ,NYJ2016-10-02,2016-10-02,4,NYJ,261,58
116,2016-10-02,2016,4,OAK,28.0,27.0,1.0,BAL,OAK2016-10-02,2016-10-02,4,OAK,199,62
117,2016-10-02,2016,4,PIT,43.0,14.0,29.0,PIT,PIT2016-10-02,2016-10-02,4,PIT,300,149
118,2016-10-02,2016,4,SDG,34.0,35.0,-1.0,SDG,SDG2016-10-02,2016-10-02,4,SDG,321,38
119,2016-10-02,2016,4,SEA,27.0,17.0,10.0,NYJ,SEA2016-10-02,2016-10-02,4,SEA,309,66
120,2016-10-02,2016,4,SF,17.0,24.0,-7.0,SF,SF2016-10-02,2016-10-02,4,SF,196,106
121,2016-10-02,2016,4,TB,7.0,27.0,-20.0,TB,TB2016-10-02,2016-10-02,4,TB,179,72
122,2016-10-02,2016,4,TEN,20.0,27.0,-7.0,HOU,TEN2016-10-02,2016-10-02,4,TEN,202,124
123,2016-10-02,2016,4,WAS,31.0,20.0,11.0,WAS,WAS2016-10-02,2016-10-02,4,WAS,183,145
124,2016-10-03,2016,4,MIN,24.0,10.0,14.0,MIN,MIN2016-10-03,2016-10-03,4,MIN,262,104
125,2016-10-03,2016,4,NYG,10.0,24.0,-14.0,MIN,NYG2016-10-03,2016-10-03,4,NYG,261,78
126,2016-10-06,2016,5,ARI,33.0,21.0,12.0,SF,ARI2016-10-06,2016-10-06,5,ARI,124,172
127,2016-10-06,2016,5,SF,21.0,33.0,-12.0,SF,SF2016-10-06,2016-10-06,5,SF,162,151
128,2016-10-09,2016,5,ATL,23.0,16.0,7.0,DEN,ATL2016-10-09,2016-10-09,5,ATL,267,122
129,2016-10-09,2016,5,BAL,10.0,16.0,-6.0,BAL,BAL2016-10-09,2016-10-09,5,BAL,210,118
130,2016-10-09,2016,5,BUF,30.0,19.0,11.0,LAR,BUF2016-10-09,2016-10-09,5,BUF,124,193
131,2016-10-09,2016,5,CHI,23.0,29.0,-6.0,IND,CHI2016-10-09,2016-10-09,5,CHI,397,125
132,2016-10-09,2016,5,CIN,14.0,28.0,-14.0,DAL,CIN2016-10-09,2016-10-09,5,CIN,269,96
133,2016-10-09,2016,5,CLE,13.0,33.0,-20.0,CLE,CLE2016-10-09,2016-10-09,5,CLE,249,27
134,2016-10-09,2016,5,DAL,28.0,14.0,14.0,DAL,DAL2016-10-09,2016-10-09,5,DAL,227,180
135,2016-10-09,2016,5,DEN,16.0,23.0,-7.0,DEN,DEN2016-10-09,2016-10-09,5,DEN,223,84
136,2016-10-09,2016,5,DET,24.0,23.0,1.0,DET,DET2016-10-09,2016-10-09,5,DET,180,80
137,2016-10-09,2016,5,GB,23.0,16.0,7.0,GB,GB2016-10-09,2016-10-09,4,GB,259,147
138,2016-10-09,2016,5,HOU,13.0,31.0,-18.0,MIN,HOU2016-10-09,2016-10-09,5,HOU,184,59
139,2016-10-09,2016,5,IND,29.0,23.0,6.0,IND,IND2016-10-09,2016-10-09,5,IND,322,98
140,2016-10-09,2016,5,LAR,19.0,30.0,-11.0,LAR,LAR2016-10-09,2016-10-09,5,LAR,271,102
141,2016-10-09,2016,5,MIA,17.0,30.0,-13.0,MIA,MIA2016-10-09,2016-10-09,5,MIA,191,51
142,2016-10-09,2016,5,MIN,31.0,13.0,18.0,MIN,MIN2016-10-09,2016-10-09,5,MIN,271,96
143,2016-10-09,2016,5,NE,33.0,13.0,20.0,CLE,NE2016-10-09,2016-10-09,5,NE,406,98
144,2016-10-09,2016,5,NYG,16.0,23.0,-7.0,GB,NYG2016-10-09,2016-10-09,5,NYG,199,43
145,2016-10-09,2016,5,NYJ,13.0,31.0,-18.0,PIT,NYJ2016-10-09,2016-10-09,5,NYJ,255,72
146,2016-10-09,2016,5,OAK,34.0,31.0,3.0,OAK,OAK2016-10-09,2016-10-09,5,OAK,317,89
147,2016-10-09,2016,5,PHI,23.0,24.0,-1.0,DET,PHI2016-10-09,2016-10-09,4,PHI,238,116
148,2016-10-09,2016,5,PIT,31.0,13.0,18.0,PIT,PIT2016-10-09,2016-10-09,5,PIT,380,61
149,2016-10-09,2016,5,SDG,31.0,34.0,-3.0,OAK,SDG2016-10-09,2016-10-09,5,SDG,359,72
150,2016-10-09,2016,5,TEN,30.0,17.0,13.0,MIA,TEN2016-10-09,2016-10-09,5,TEN,163,235
151,2016-10-09,2016,5,WAS,16.0,10.0,6.0,BAL,WAS2016-10-09,2016-10-09,5,WAS,260,60
152,2016-10-10,2016,5,CAR,14.0,17.0,-3.0,CAR,CAR2016-10-10,2016-10-10,5,CAR,278,136
153,2016-10-10,2016,5,TB,17.0,14.0,3.0,CAR,TB2016-10-10,2016-10-10,5,TB,219,113
154,2016-10-13,2016,6,DEN,13.0,21.0,-8.0,SDG,DEN2016-10-13,2016-10-13,6,DEN,230,84
155,2016-10-13,2016,6,SDG,21.0,13.0,8.0,SDG,SDG2016-10-13,2016-10-13,6,SDG,178,99
156,2016-10-16,2016,6,ATL,24.0,26.0,-2.0,SEA,ATL2016-10-16,2016-10-16,6,ATL,335,52
157,2016-10-16,2016,6,BAL,23.0,27.0,-4.0,NYG,BAL2016-10-16,2016-10-16,6,BAL,307,98
158,2016-10-16,2016,6,BUF,45.0,16.0,29.0,BUF,BUF2016-10-16,2016-10-16,6,BUF,179,313
159,2016-10-16,2016,6,CAR,38.0,41.0,-3.0,NO,CAR2016-10-16,2016-10-16,6,CAR,322,103
160,2016-10-16,2016,6,CHI,16.0,17.0,-1.0,CHI,CHI2016-10-16,2016-10-16,6,CHI,302,92
161,2016-10-16,2016,6,CIN,17.0,35.0,-18.0,NE,CIN2016-10-16,2016-10-16,6,CIN,254,120
162,2016-10-16,2016,6,CLE,26.0,28.0,-2.0,TEN,CLE2016-10-16,2016-10-16,6,CLE,337,40
163,2016-10-16,2016,6,DAL,30.0,16.0,14.0,GB,DAL2016-10-16,2016-10-16,6,DAL,247,191
164,2016-10-16,2016,6,DET,31.0,28.0,3.0,DET,DET2016-10-16,2016-10-16,6,DET,270,83
165,2016-10-16,2016,6,GB,16.0,30.0,-14.0,GB,GB2016-10-16,2016-10-16,5,GB,294,78
166,2016-10-16,2016,6,HOU,26.0,23.0,3.0,HOU,HOU2016-10-16,2016-10-16,6,HOU,269,158
167,2016-10-16,2016,6,IND,23.0,26.0,-3.0,HOU,IND2016-10-16,2016-10-16,6,IND,252,161
168,2016-10-16,2016,6,JAX,17.0,16.0,1.0,CHI,JAX2016-10-16,2016-10-16,5,JAX,271,54
169,2016-10-16,2016,6,KC,26.0,10.0,16.0,OAK,KC2016-10-16,2016-10-16,5,KC,224,183
170,2016-10-16,2016,6,LAR,28.0,31.0,-3.0,DET,LAR2016-10-16,2016-10-16,6,LAR,321,76
171,2016-10-16,2016,6,MIA,30.0,15.0,15.0,MIA,MIA2016-10-16,2016-10-16,6,MIA,252,222
172,2016-10-16,2016,6,NE,35.0,17.0,18.0,NE,NE2016-10-16,2016-10-16,6,NE,376,79
173,2016-10-16,2016,6,NO,41.0,38.0,3.0,NO,NO2016-10-16,2016-10-16,5,NO,465,63
174,2016-10-16,2016,6,NYG,27.0,23.0,4.0,NYG,NYG2016-10-16,2016-10-16,6,NYG,403,38
175,2016-10-16,2016,6,OAK,10.0,26.0,-16.0,OAK,OAK2016-10-16,2016-10-16,6,OAK,225,64
