,schedule_date,schedule_season,schedule_week,team_x,score,opponent_score,margin,home_team,id,game_number,team_y,passing_yards,rushing_yards
158,2016-10-23,2016,7,MIN,10.0,21.0,-11.0,PHI,2016MIN7,7,MIN,228,57
159,2016-10-23,2016,7,NYG,17.0,10.0,7.0,LAR,2016NYG7,7,NYG,196,36
160,2016-10-23,2016,7,NYJ,24.0,16.0,8.0,NYJ,2016NYJ7,7,NYJ,215,155
161,2016-10-23,2016,7,OAK,33.0,16.0,17.0,JAX,2016OAK7,7,OAK,200,144
162,2016-10-23,2016,7,PHI,21.0,10.0,11.0,PHI,2016PHI7,7,PHI,202,97
163,2016-10-23,2016,7,PIT,16.0,27.0,-11.0,PIT,2016PIT7,7,PIT,281,94
164,2016-10-23,2016,7,SEA,6.0,6.0,0.0,ARI,2016SEA7,7,SEA,296,74
165,2016-10-23,2016,7,TEN,26.0,34.0,-8.0,TEN,2016TEN7,7,TEN,232,124
166,2016-10-23,2016,7,WAS,17.0,20.0,-3.0,DET,2016WAS7,7,WAS,301,130
167,2016-10-24,2016,7,DEN,27.0,9.0,18.0,DEN,2016DEN7,7,DEN,157,190
168,2016-10-24,2016,7,HOU,9.0,27.0,-18.0,DEN,2016HOU7,7,HOU,131,140
169,2016-10-27,2016,8,JAX,22.0,36.0,-14.0,TEN,2016JAX8,8,JAX,252,205
170,2016-10-27,2016,8,TEN,36.0,22.0,14.0,TEN,2016TEN8,8,TEN,280,214
171,2016-10-30,2016,8,ARI,20.0,30.0,-10.0,CAR,2016ARI8,8,ARI,363,24
172,2016-10-30,2016,8,ATL,33.0,32.0,1.0,ATL,2016ATL8,8,ATL,288,90
173,2016-10-30,2016,8,BUF,25.0,41.0,-16.0,BUF,2016BUF8,8,BUF,218,167
174,2016-10-30,2016,8,CAR,30.0,20.0,10.0,CAR,2016CAR8,8,CAR,225,59
175,2016-10-30,2016,8,CIN,27.0,27.0,0.0,CIN,2016CIN8,8,CIN,284,152
176,2016-10-30,2016,8,CLE,28.0,31.0,-3.0,CLE,2016CLE8,8,CLE,345,68
